Título,Autor,Año de publicación,Género
METRO 2033,DMITRI GLUKHOVSKY,2002-05-29,Ciencia ficción apocalíptica
EL MARCIANO,ANDY WEIR,2011-04-24,Ciencia ficción
METRO 2034,DMITRI GLUKHOVSKY,2009-05-10,Ciencia ficción apocalíptica
METRO 2035,DMITRI GLUKHOVSKY,2009-05-23,Ciencia ficción apocalíptica
CIENCIA Y GUERRA,NEIL DEGRASSE TYSON,2019-10-14,Inteligencia militar
LA CANCIÓN DE AQUILES,MADELINE MILLER,2012-04-18,Novela
ARTEMISA,ANDY WEIR,2017-11-14,Ciencia ficción
PROYECTO HAIL MARY,ANDY WEIR,2021-05-04,Ciencia ficción
CRASH,ADAM TOOZE,2018-09-06,Economía
NARRATIVA COMPLETA(VOL. 1),HOWARD PHILLIPS LOVECRAFT,2011-10-30,Terror cosmico
NARRATIVA COMPLETA (VOL. 2),HOWARD PHILLIPS LOVECRAFT,2007-10-30,Terror cosmico
DE ANIMALES A DIOSES,YUVAL NOAH HARARI,2011-03-23,No-ficción
